tconst,domestic,international,worldwide
tt0319768,,16950.0,16950.0
tt0319769,153256.0,9679407.0,9832663.0
tt0319821,,71353.0,71353.0
tt0319829,533569.0,12537.0,546106.0
tt0319836,,46852.0,46852.0
tt0319901,,2637268.0,2637268.0
tt0319917,,6017161.0,6017161.0
tt0320042,,3439198.0,3439198.0
tt0320097,,100838.0,100838.0
tt0320159,,277428.0,277428.0
tt0320193,10304.0,6686648.0,6696952.0
tt0320194,,533.0,533.0
tt0320241,5348.0,,5348.0
tt0320244,742898.0,39708.0,782606.0
tt0320558,,20376.0,20376.0
tt0320661,47398413.0,170724214.0,218122627.0
tt0320691,51970690.0,43737767.0,95708457.0
tt0320693,,79430.0,79430.0
tt0320763,,831286.0,831286.0
tt0321175,,620920.0,620920.0
tt0321177,,16357.0,16357.0
tt0321376,16783.0,6756.0,23539.0
tt0321436,,10325928.0,10325928.0
tt0321440,,2454280.0,2454280.0
tt0321473,,399375.0,399375.0
tt0321494,,48830.0,48830.0
tt0321733,,130200.0,130200.0
tt0321997,,16324.0,16324.0
tt0322023,320092.0,,320092.0
tt0322082,,649098.0,649098.0
tt0322120,,1353035.0,1353035.0
tt0322177,,806725.0,806725.0
tt0322259,127154901.0,109195760.0,236350661.0
tt0322279,,9805.0,9805.0
tt0322289,182163.0,7405796.0,7587959.0
tt0322298,,220704.0,220704.0
tt0322309,,10690.0,10690.0
tt0322330,110230332.0,50616000.0,160846332.0
tt0322333,,2782.0,2782.0
tt0322420,,5363574.0,5363574.0
tt0322545,,4143889.0,4143889.0
tt0322589,30308417.0,31919978.0,62228395.0
tt0322645,,10539779.0,10539779.0
tt0322650,1581.0,,1581.0
tt0322653,,307138.0,307138.0
tt0322659,1420578.0,179226.0,1599804.0
tt0322674,1563.0,5936602.0,5938165.0
tt0322700,3264.0,,3264.0
tt0322725,56878.0,327458.0,384336.0
tt0322731,,113759.0,113759.0
tt0322802,64255312.0,15238519.0,79493831.0
tt0322807,,77586.0,77586.0
tt0322824,21900.0,184884.0,206784.0
tt0322830,,479160.0,479160.0
tt0322936,95415.0,,95415.0
tt0322999,,847646.0,847646.0
tt0323008,9397.0,,9397.0
tt0323013,753600.0,5105642.0,5859242.0
tt0323033,17871255.0,12160619.0,30031874.0
tt0323298,1063163.0,1976424.0,3039587.0
tt0323305,,1303128.0,1303128.0
tt0323311,,2707673.0,2707673.0
tt0323425,,839943.0,839943.0
tt0323443,,1337433.0,1337433.0
tt0323551,,4778324.0,4778324.0
tt0323572,6130049.0,6531140.0,12661189.0
tt0323609,,17235.0,17235.0
tt0323630,,21784403.0,21784403.0
tt0323633,4168.0,,4168.0
tt0323642,23103423.0,39767123.0,62870546.0
tt0323753,,245148.0,245148.0
tt0323807,227986.0,12681615.0,12909601.0
tt0323836,,5954.0,5954.0
tt0323872,351235.0,2472237.0,2823472.0
tt0323939,25032.0,434066.0,459098.0
tt0323944,2220008.0,724744.0,2944752.0
tt0323998,,90132.0,90132.0
tt0324015,,2421304.0,2421304.0
tt0324080,260523.0,,260523.0
tt0324123,,1790131.0,1790131.0
tt0324127,8725813.0,2690262.0,11416075.0
tt0324133,10130108.0,12311389.0,22441497.0
tt0324158,44806.0,109179.0,153985.0
tt0324197,61439.0,437710.0,499149.0
tt0324216,80571655.0,26792250.0,107363905.0
tt0324242,,1691811.0,1691811.0
tt0324296,,6394240.0,6394240.0
tt0324365,,78084.0,78084.0
tt0324443,,28712.0,28712.0
tt0324518,,1158912.0,1158912.0
tt0324554,13001257.0,8740341.0,21741598.0
tt0324952,,41740.0,41740.0
tt0324978,,6999.0,6999.0
tt0325005,,875688.0,875688.0
tt0325007,16377.0,,16377.0
tt0325030,16150.0,2574069.0,2590219.0
tt0325055,1315498.0,1601895.0,2917393.0
tt0325123,933637.0,1971862.0,2905499.0
tt0325145,,2067335.0,2067335.0
tt0325165,,10569737.0,10569737.0
tt0325191,,7963.0,7963.0
tt0325234,213008.0,,213008.0
tt0325258,22738671.0,1030834.0,23769505.0
tt0325444,,184676.0,184676.0
tt0325478,51246.0,,51246.0
tt0325513,,12520.0,12520.0
tt0325534,,1155954.0,1155954.0
tt0325537,38125247.0,495237.0,38620484.0
tt0325596,,72962.0,72962.0
tt0325655,512049.0,11652967.0,12165016.0
tt0325661,19800.0,,19800.0
tt0325675,,13500.0,13500.0
tt0325694,,129018.0,129018.0
tt0325703,65660196.0,94439026.0,160099222.0
tt0325710,111127263.0,343500000.0,454627263.0
tt0325713,,196724.0,196724.0
tt0325733,,1192335.0,1192335.0
tt0325734,,1764411.0,1764411.0
tt0325743,,7680210.0,7680210.0
tt0325761,24137.0,,24137.0
tt0325772,,170178.0,170178.0
tt0325805,36906460.0,28659212.0,65565672.0
tt0325826,,30789.0,30789.0
tt0325948,,598131.0,598131.0
tt0325958,,1110634.0,1110634.0
tt0325968,,309740.0,309740.0
tt0325980,305413918.0,348850097.0,654264015.0
tt0326011,,462485.0,462485.0
tt0326036,14532.0,958641.0,973173.0
tt0326148,34646.0,,34646.0
tt0326174,,312790.0,312790.0
tt0326208,31651.0,241140.0,272791.0
tt0326292,4546.0,,4546.0
tt0326306,516726.0,4540.0,521266.0
tt0326357,,19225.0,19225.0
tt0326412,11089.0,,11089.0
tt0326429,,24816394.0,24816394.0
tt0326441,,1589942.0,1589942.0
tt0326576,,5715460.0,5715460.0
tt0326600,,2187305.0,2187305.0
tt0326664,54965.0,736189.0,791154.0
tt0326722,51549.0,,51549.0
tt0326746,,33433.0,33433.0
tt0326769,22076772.0,1433849.0,23510621.0
tt0326805,,833714.0,833714.0
tt0326806,254293.0,,254293.0
tt0326828,,574672.0,574672.0
tt0326835,307486.0,,307486.0
tt0326856,13562325.0,931711.0,14494036.0
tt0326900,37667746.0,7822870.0,45490616.0
tt0326905,10167373.0,610002.0,10777375.0
tt0326965,30158.0,,30158.0
tt0326976,11560.0,,11560.0
tt0326977,1615328.0,5739090.0,7354418.0
tt0326983,,1431240.0,1431240.0
tt0326988,9425.0,15465.0,24890.0
tt0326992,,2625603.0,2625603.0
tt0327036,19184820.0,,19184820.0
tt0327056,90135191.0,66460000.0,156595191.0
tt0327071,,74437.0,74437.0
tt0327084,155019340.0,184776550.0,339795890.0
tt0327137,42070939.0,6189340.0,48260279.0
tt0327162,59484742.0,43885385.0,103370127.0
tt0327169,,791247.0,791247.0
tt0327210,165000.0,,165000.0
tt0327226,,150198.0,150198.0
tt0327227,,601039.0,601039.0
tt0327247,16328471.0,9842200.0,26170671.0
tt0327259,,1202146.0,1202146.0
tt0327344,,1054344.0,1054344.0
tt0327437,24008137.0,48170758.0,72178895.0
tt0327520,,34843.0,34843.0
tt0327546,,1071748.0,1071748.0
tt0327554,40202379.0,41900000.0,82102379.0
tt0327594,14824.0,,14824.0
tt0327597,75286229.0,49310608.0,124596837.0
tt0327643,36099.0,,36099.0
tt0327660,,27460.0,27460.0
tt0327679,22918387.0,4470380.0,27388767.0
tt0327717,,647110.0,647110.0
tt0327730,,17312.0,17312.0
tt0327753,77070.0,11008.0,88078.0
tt0327754,,267087.0,267087.0
tt0327850,47726342.0,33255572.0,80981914.0
tt0327919,288552.0,41025.0,329577.0
tt0327920,445522.0,,445522.0
tt0328045,,159069.0,159069.0
tt0328077,6028.0,,6028.0
tt0328099,34432201.0,190303.0,34622504.0
tt0328107,77911774.0,52923078.0,130834852.0
tt0328132,,1011700.0,1011700.0
tt0328175,,452391.0,452391.0
tt0328258,,1483384.0,1483384.0
tt0328270,,611598.0,611598.0
tt0328308,,188722.0,188722.0
tt0328327,,132172.0,132172.0
tt0328349,,1192090.0,1192090.0
tt0328432,,2357736.0,2357736.0
tt0328500,,8631815.0,8631815.0
tt0328503,,41726.0,41726.0
tt0328509,,1008622.0,1008622.0
tt0328589,43610723.0,15268000.0,58878723.0
tt0328671,,128295.0,128295.0
tt0328675,,9230.0,9230.0
tt0328802,127035.0,1139028.0,1266063.0
tt0328820,,259720.0,259720.0
tt0328828,104565114.0,128157821.0,232722935.0
tt0328831,,1052738.0,1052738.0
tt0328839,,3697.0,3697.0
tt0328844,68215.0,1151380.0,1219595.0
tt0328880,85336277.0,165061521.0,250397798.0
tt0328890,,2038842.0,2038842.0
tt0328913,6739.0,,6739.0
tt0328955,,22288364.0,22288364.0
tt0328962,2751988.0,,2751988.0
tt0329028,26276465.0,12991050.0,39267515.0
tt0329030,12311.0,,12311.0
tt0329042,,975881.0,975881.0
tt0329045,,12273.0,12273.0
tt0329094,3741.0,2410.0,6151.0
tt0329095,,125278.0,125278.0
tt0329101,82622655.0,34009973.0,116632628.0
tt0329106,,51772.0,51772.0
tt0329111,482757.0,2701263.0,3184020.0
tt0329162,,15027.0,15027.0
tt0329330,,2108596.0,2108596.0
tt0329354,,953308.0,953308.0
tt0329388,2823890.0,9540946.0,12364836.0
tt0329485,227582.0,6510553.0,6738135.0
tt0329493,,240827.0,240827.0
tt0329551,,4404.0,4404.0
tt0329575,120277854.0,28058591.0,148336445.0
tt0329584,,8385395.0,8385395.0
tt0329691,21215059.0,25331138.0,46546197.0
tt0329706,,480671.0,480671.0
tt0329717,30940691.0,20201968.0,51142659.0
tt0329731,,381162.0,381162.0
tt0329767,235294.0,1638188.0,1873482.0
tt0329774,26873932.0,44148761.0,71022693.0
tt0329777,,81310.0,81310.0
tt0329784,,696449.0,696449.0
tt0329953,,11475.0,11475.0
tt0330069,604856.0,,604856.0
tt0330073,,68300.0,68300.0
tt0330080,11419.0,295562.0,306981.0
tt0330082,,1550273.0,1550273.0
tt0330099,366301.0,36298.0,402599.0
tt0330111,,109202.0,109202.0
tt0330118,,12712.0,12712.0
tt0330136,814666.0,,814666.0
tt0330193,341280.0,,341280.0
tt0330217,352128.0,174443.0,526571.0
tt0330225,,1939052.0,1939052.0
tt0330229,4067.0,5401658.0,5405725.0
tt0330243,,1277521.0,1277521.0
tt0330247,11421.0,25324.0,36745.0
tt0330252,,52348.0,52348.0
tt0330316,,61583.0,61583.0
tt0330373,290417905.0,606044980.0,896462886.0
tt0330501,,196200.0,196200.0
tt0330506,,1051138.0,1051138.0
tt0330556,,4320.0,4320.0
tt0330602,6253026.0,3385232.0,9638258.0
tt0330691,,3368452.0,3368452.0
tt0330702,337265.0,11733742.0,12071007.0
tt0330713,,31340.0,31340.0
tt0330775,60862.0,24144.0,85006.0
tt0330793,33810189.0,20889916.0,54700105.0
tt0330802,,790941.0,790941.0
tt0330835,,35839.0,35839.0
tt0330843,317564.0,223803.0,541367.0
tt0330911,,320776.0,320776.0
tt0331041,,67540.0,67540.0
tt0331072,,815731.0,815731.0
tt0331088,,8271113.0,8271113.0
tt0331106,,400752.0,400752.0
tt0331216,,1700361.0,1700361.0
tt0331225,11562.0,,11562.0
tt0331311,,126532.0,126532.0
tt0331314,,72060.0,72060.0
tt0331338,8046.0,,8046.0
tt0331370,,633761.0,633761.0
tt0331468,21386011.0,7733423.0,29119434.0
tt0331472,,137999.0,137999.0
tt0331525,8106.0,8184.0,16290.0
tt0331543,,434.0,434.0
tt0331632,84216833.0,97000000.0,181216833.0
tt0331639,,171672.0,171672.0
tt0331701,,1527127.0,1527127.0
tt0331811,,3810792.0,3810792.0
tt0331851,301010.0,1872995.0,2174005.0
tt0331933,19699706.0,1877918.0,21577624.0
tt0331952,5763875.0,6756924.0,12520799.0
tt0331953,5001708.0,2564099.0,7565807.0
tt0332047,42071069.0,8534094.0,50605163.0
tt0332129,984.0,,984.0
tt0332281,,97473.0,97473.0
tt0332285,1317167.0,2325.0,1319492.0
tt0332322,,91972.0,91972.0
tt0332375,8940582.0,1334927.0,10275509.0
tt0332379,81261177.0,49834813.0,131095990.0
tt0332381,75994.0,100407.0,176401.0
tt0332452,133378256.0,364031596.0,497409852.0
tt0332605,57862.0,99751.0,157613.0
tt0332636,7281.0,,7281.0
tt0332639,1151941.0,13535226.0,14687167.0
tt0332658,896993.0,4278222.0,5175215.0
tt0332701,69739.0,,69739.0
tt0332712,17669317.0,821106.0,18490423.0
tt0332718,,10496.0,10496.0
tt0332743,,85323.0,85323.0
tt0332817,,64547.0,64547.0
tt0332831,43017.0,14734.0,57751.0
tt0333089,4381.0,,4381.0
tt0333407,,44611.0,44611.0
tt0333526,,535850.0,535850.0
tt0333528,,17797711.0,17797711.0
tt0333645,18867.0,,18867.0
tt0333692,,352463.0,352463.0
tt0333764,6242.0,219825.0,226067.0
tt0333766,26782316.0,9043000.0,35825316.0
tt0333780,90186328.0,34728514.0,124914842.0
tt0333847,10888.0,,10888.0
tt0334141,,4031.0,4031.0
tt0334245,,100500.0,100500.0
tt0334405,5728581.0,1729129.0,7457710.0
tt0334416,103401.0,,103401.0
tt0334574,,100497.0,100497.0
tt0334575,,14026.0,14026.0
tt0334725,88560.0,1285742.0,1374302.0
tt0334754,267005.0,84702.0,351707.0
tt0334893,,38865.0,38865.0
tt0335013,2283914.0,4131103.0,6415017.0
tt0335119,11670971.0,21359144.0,33030115.0
tt0335121,14379751.0,15740920.0,30120671.0
tt0335126,54579.0,,54579.0
tt0335156,,1459908.0,1459908.0
tt0335177,,4187163.0,4187163.0
tt0335245,39799191.0,36866000.0,76665191.0
tt0335261,,581667.0,581667.0
tt0335265,932.0,,932.0
