,nominated_directors
314,William Wyler
315,William Wyler
316,Michael Curtiz
317,John Farrow
318,Mervyn LeRoy
319,Sam Wood
320,Michael Curtiz
321,Clarence Brown
322,Henry King
323,Ernst Lubitsch
324,George Stevens
325,Leo McCarey
326,Alfred Hitchcock
327,Henry King
328,Otto Preminger
329,Billy Wilder
330,Billy Wilder
331,Clarence Brown
332,Alfred Hitchcock
333,Leo McCarey
334,Jean Renoir
335,William Wyler
336,Clarence Brown
337,Frank Capra
338,David Lean
339,Robert Siodmak
340,Elia Kazan
341,George Cukor
342,Edward Dmytryk
343,Henry Koster
344,David Lean
345,John Huston
346,Anatole Litvak
347,Jean Negulesco
348,Laurence Olivier
349,Fred Zinnemann
350,Joseph L. Mankiewicz
351,Carol Reed
352,Robert Rossen
353,William A. Wellman
354,William Wyler
355,Billy Wilder
356,Jack Cardiff
357,Jules Dassin
358,Alfred Hitchcock
359,Fred Zinnemann
360,Jerome Robbins
361,Federico Fellini
362,Stanley Kramer
363,Robert Rossen
364,J. Lee Thompson
365,David Lean
366,Pietro Germi
367,Robert Mulligan
368,Arthur Penn
369,Frank Perry
370,Tony Richardson
371,Federico Fellini
372,Elia Kazan
373,Otto Preminger
374,Martin Ritt
375,George Cukor
376,Michael Cacoyannis
377,Peter Glenville
378,Stanley Kubrick
379,Robert Stevenson
380,Robert Wise
381,David Lean
382,John Schlesinger
383,Hiroshi Teshigahara
384,William Wyler
385,Fred Zinnemann
386,Michelangelo Antonioni
387,Richard Brooks
388,Claude Lelouch
389,Mike Nichols
390,Mike Nichols
391,Richard Brooks
392,Norman Jewison
393,Stanley Kramer
394,Arthur Penn
395,Carol Reed
396,Anthony Harvey
397,Stanley Kubrick
398,Gillo Pontecorvo
399,Franco Zeffirelli
400,John Schlesinger
401,Costa-Gavras
402,George Roy Hill
403,Arthur Penn
404,Sydney Pollack
405,Tom Hooper
406,Darren Aronofsky
407,Coen Brothers
408,David Fincher
409,David O. Russell
410,Michel Hazanavicius
411,Woody Allen
412,Terrence Malick
413,Alexander Payne
414,Martin Scorsese
415,Ang Lee
416,Michael Haneke
417,David O. Russell
418,Steven Spielberg
419,Benh Zeitlin
420,Alfonso Cuarón
421,Steve McQueen
422,Alexander Payne
423,David O. Russell
424,Martin Scorsese
425,Alejandro González Iñárritu
426,Wes Anderson
427,Richard Linklater
428,Bennett Miller
429,Morten Tyldum
430,Alejandro González Iñárritu
431,Lenny Abrahamson
432,Tom McCarthy
433,Adam McKay
434,George Miller
435,Damien Chazelle
436,Mel Gibson
437,Barry Jenkins
438,Kenneth Lonergan
439,Denis Villeneuve
440,Guillermo del Toro
441,Paul Thomas Anderson
442,Greta Gerwig
443,Christopher Nolan
444,Jordan Peele
445,Alfonso Cuarón
446,Yorgos Lanthimos
447,Spike Lee
448,Adam McKay
449,Paweł Pawlikowski
450,Bong Joon-ho
451,Sam Mendes
452,Todd Phillips
453,Martin Scorsese
454,Quentin Tarantino
455,Chloé Zhao
456,Lee Isaac Chung
457,Emerald Fennell
458,David Fincher
459,Thomas Vinterberg
