tt0011216,,,
tt0016906,,,
tt0019996,,,
tt0035423,47121859,28897189,76019048
tt0036177,,,
tt0062336,,,
tt0064730,,,
tt0069049,,,
tt0079644,,,
tt0088751,,,
tt0093119,,,
tt0096056,,,
tt0100275,3624,,3624
tt0102362,,,
tt0108549,,,
tt0109173,,,
tt0110476,,2139115,2139115
tt0111414,,,
tt0112912,,,
tt0113026,49666,,49666
tt0113092,,,
tt0113506,,,
tt0114447,,,
tt0114722,,,
tt0114978,,,
tt0115686,,,
tt0115937,,,
tt0116391,,,
tt0116628,,,
tt0116748,45200,,45200
tt0116991,,,
tt0117743,,,
tt0118141,,,
tt0118154,,,
tt0118578,,,
tt0118589,4274407,997259,5271666
tt0118652,,,
tt0118694,2738980,11049018,13787998
tt0118710,,,
tt0118852,,,
tt0118926,2377348,2850000,5227348
tt0119004,,41939,41939
tt0119231,,,
tt0119273,,,
tt0119495,,,
tt0119727,,,
tt0119806,,,
tt0119866,,,
tt0119966,,,
tt0119970,,,
tt0119980,,,
tt0120117,40712,,40712
tt0120166,,,
tt0120202,6944471,2261808,9206279
tt0120263,80334,,80334
tt0120454,,,
tt0120467,15927,,15927
tt0120485,,,
tt0120607,,,
tt0120624,,,
tt0120626,,,
tt0120630,106834564,118000000,224834564
tt0120667,154696080,178839854,333535934
tt0120673,,,
tt0120679,25885000,30413474,56298474
tt0120681,31602566,42955549,74558115
tt0120698,,,
tt0120733,,,
tt0120737,315710750,581925399,897636149
tt0120753,59989,45994,105983
tt0120755,215409889,330978219,546388108
tt0120804,40119709,62865153,102984862
tt0120807,,,
tt0120824,11434216,13256225,24690441
tt0120903,157299718,139039810,296339528
tt0120912,193735288,251400000,445135288
tt0120913,22753426,14001208,36754634
tt0120917,89636687,80025000,169661687
tt0121164,53359111,64731725,118090836
tt0121765,310676740,343103230,653779970
tt0121766,380270577,488119983,868390560
tt0122161,,,
tt0122247,,,
tt0122459,32722798,3887197,36609995
tt0123003,,,
tt0123055,,,
tt0123581,,,
tt0124889,,,
tt0125022,40336607,17419801,57756408
tt0126029,267665011,220188309,487853320
tt0126899,,,
tt0127349,270745,,270745
